links001;;;;;;;;;;;;;;;
Date:;04.02.2008;;;;;;;;;;;;;;
Time:;16:29:01;;;;;;;;;;;;;;
Type:;;;;;;;;;;;;;;;
Description:;;;;;;;;;;;;;;;
Notes:;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;
120;Hz;;;;;;;;;;;;;;
;LUPA;;;LELB;;;LFRM;;;LSHO;;;LFIN;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
70;629,196349;-1561,532862;1388,094679;698,604049;-1578,203542;1250,124363;692,839552;-1629,239421;1123,351272;489,922463;-1543,806678;1517,433527;666,791569;-1656,9495;981,877224
71;623,981377;-1558,398308;1388,262169;692,886093;-1575,622544;1250,609123;687,568579;-1627,06604;1123,747555;485,655083;-1539,101263;1518,405115;662,146466;-1655,022333;982,095723
72;618,608212;-1555,121187;1388,381935;687,020272;-1572,980523;1250,683453;682,07054;-1624,681618;1124,350815;480,825643;-1534,207526;1519,28217;657,23233;-1652,876618;982,181224
73;613,080828;-1551,774661;1388,518918;680,975523;-1570,150122;1250,700262;676,375083;-1622,172085;1124,909019;475,154393;-1529,114992;1519,81891;652,1607;-1650,547116;982,546438
74;607,368503;-1548,374733;1388,728034;674,621781;-1567,05651;1250,936574;670,607647;-1619,555386;1125,198039;469,549249;-1523,838531;1520,468132;646,942102;-1647,984881;982,669511
75;601,492117;-1544,839417;1388,873096;668,103012;-1563,940244;1251,120682;664,514729;-1616,714665;1125,399094;464,183116;-1518,467534;1521,035682;641,682034;-1645,336228;982,656002
76;595,490772;-1541,05528;1388,909284;661,505118;-1560,802858;1251,290529;658,036125;-1613,754962;1125,767094;458,910965;-1513,006496;1521,653173;636,302916;-1642,525007;983,051766
77;589,369133;-1537,024366;1388,952042;654,760084;-1557,56307;1251,552852;651,4576;-1610,590462;1126,198833;453,487788;-1507,303264;1522,486417;630,506225;-1639,317454;983,35533
78;583,161901;-1532,897521;1389,12421;647,896809;-1554,132372;1251,75463;644,753644;-1607,154322;1126,56941;447,831939;-1501,286556;1523,178906;624,388689;-1635,844649;983,368063
79;576,896152;-1528,703163;1389,351275;640,883054;-1550,427147;1251,866144;637,918291;-1603,627434;1126,961822;442,066538;-1495,066257;1523,564774;618,314851;-1632,377938;983,504527
